phone,control_n,dysarthric_n,control_deletion_rate,dysarthric_deletion_rate,excess_deletion,control_substitution_rate,dysarthric_substitution_rate,excess_substitution,control_error_rate,dysarthric_error_rate,excess_error
s,268,101,0.0037,0.1584,0.1547,0.0,0.099,0.099,0.0037,0.2574,0.2537
ih,283,103,0.0,0.0291,0.0291,0.0283,0.0874,0.0591,0.0283,0.1165,0.0882
d,181,67,0.0055,0.0448,0.0393,0.0497,0.0896,0.0398,0.0552,0.1343,0.0791
g,63,29,0.0159,0.069,0.0531,0.0159,0.0345,0.0186,0.0317,0.1034,0.0717
k,181,60,0.0,0.0333,0.0333,0.0,0.0333,0.0333,0.0,0.0667,0.0667
ae,108,38,0.0,0.0,0.0,0.0463,0.1053,0.059,0.0463,0.1053,0.059
ay,107,35,0.0,0.0,0.0,0.0,0.0571,0.0571,0.0,0.0571,0.0571
l,216,80,0.0,0.0375,0.0375,0.0,0.0125,0.0125,0.0,0.05,0.05
t,437,158,0.0092,0.0127,0.0035,0.0252,0.0696,0.0444,0.0343,0.0823,0.048
p,203,87,0.0049,0.0,-0.0049,0.0049,0.0575,0.0525,0.0099,0.0575,0.0476
aa,128,47,0.0156,0.0,-0.0156,0.0234,0.0851,0.0617,0.0391,0.0851,0.046
hh,77,23,0.0,0.0,0.0,0.0,0.0435,0.0435,0.0,0.0435,0.0435
r,467,192,0.0021,0.0312,0.0291,0.0064,0.0208,0.0144,0.0086,0.0521,0.0435
ah,195,87,0.0103,0.0,-0.0103,0.0359,0.0805,0.0446,0.0462,0.0805,0.0343
w,82,36,0.0244,0.0278,0.0034,0.0,0.0278,0.0278,0.0244,0.0556,0.0312
iy,158,61,0.0063,0.0,-0.0063,0.0253,0.0492,0.0239,0.0316,0.0492,0.0175
b,121,50,0.0,0.0,0.0,0.0083,0.02,0.0117,0.0083,0.02,0.0117
eh,154,56,0.0,0.0179,0.0179,0.026,0.0179,-0.0081,0.026,0.0357,0.0097
n,205,76,0.0049,0.0,-0.0049,0.0049,0.0132,0.0083,0.0098,0.0132,0.0034
f,123,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ow,69,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ao,123,49,0.0,0.0,0.0,0.065,0.0612,-0.0038,0.065,0.0612,-0.0038
m,103,37,0.0097,0.0,-0.0097,0.0,0.0,0.0,0.0097,0.0,-0.0097
ey,111,42,0.0,0.0,0.0,0.036,0.0238,-0.0122,0.036,0.0238,-0.0122
uw,87,34,0.0,0.0,0.0,0.046,0.0,-0.046,0.046,0.0,-0.046
